"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0356","Rue d'Argentré","NANTES","Argentré","PUBLIQUE","NANTES Rue Tournefort","NANTES Place Roger Salengro","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0357","Avenue Ariane","NANTES","Ariane","PRIVEE","NANTES Rue Arago","","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0358","Rue de l'Ariège","NANTES","Ariège","PUBLIQUE","NANTES Rue du Jamet","NANTES Rue Lucien Aubert","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0385","Impasse des Armateurs","NANTES","Armateurs","PRIVEE","NANTES Rue Clémence Royer","Impasse","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"0387","Avenue des Armoises","NANTES","Armoises","Inconnu","NANTES Avenue du Clos du Cens","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0388","Avenue d'Armor","NANTES","Armor","PRIVEE","NANTES Avenue Castellano","NANTES Rue François Mauriac","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0389","Avenue de l'Armorial","NANTES","Armorial","PRIVEE","NANTES Route de Carquefou","","TRI'SAC","unique","","mardi et vendredi","","","Nantes Erdre",""
"3101","Impasse Ferdinand Arnodin","NANTES","Arnodin","PUBLIQUE","NANTES Rue Bayard","Impasse","extension tri'sac 2013","unique","","mardi et vendredi","","","Dervallières - Zola",""
"5061","Place Louis Arretche","NANTES","Arretche","PRIVEE","","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"4557","Promenade José Arribas","NANTES","Arribas","PUBLIQUE","NANTES Rue André Tardieu","NANTES Pont Willy Brandt","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
